State,Month,Year,"No. of Wells
Analysed",0-2,2-5,5-10,10-20,20-40,40
Andhra Pradesh,May,2009,670,9.25,27.46,45.82,16.72,0.75,0.00
Arunachal Pradesh,May,2009,9,11.11,44.44,44.44,0.00,0.00,0.00
Assam,May,2009,204,13.24,63.24,22.06,1.47,0.00,0.00
Bihar,May,2009,220,1.82,42.27,54.09,1.82,0.00,0.00
Chandigarh,May,2009,20,0.00,15.00,25.00,40.00,10.00,10.00
Chhattisgarh,May,2009,380,1.32,18.16,61.05,18.95,0.53,0.00
Dadar-Nagar-Haveli,May,2009,7,0.00,28.57,28.57,42.86,0.00,0.00
Delhi,May,2009,201,2.99,20.90,26.87,24.38,14.43,10.45
Gujarat,May,2009,737,2.71,15.88,38.53,32.56,9.09,1.22
Haryana,May,2009,316,3.80,25.00,25.95,31.33,13.61,0.32
Himachal Pradesh,May,2009,83,3.61,36.14,25.30,25.30,8.43,1.20
Jammu & Kashmir,May,2009,136,8.09,44.12,30.88,10.29,6.62,0.00
Jharkhand,May,2009,168,2.98,16.67,66.07,14.29,0.00,0.00
Karnataka,May,2009,879,4.21,25.82,42.21,27.42,0.34,0.00
Kerala,May,2009,623,9.15,27.93,44.30,16.37,2.09,0.16
Madhya Pradesh,May,2009,868,0.23,6.22,45.28,43.55,4.61,0.12
Maharashtra,May,2009,756,3.97,19.18,53.17,21.96,1.59,0.13
Meghalaya,May,2009,27,22.22,62.96,14.81,0.00,0.00,0.00
Odisha,May,2009,839,6.67,36.23,52.44,4.65,0.00,0.00
Pondicherry,May,2009,6,16.67,83.33,0.00,0.00,0.00,0.00
Punjab,May,2009,222,4.05,14.41,25.23,40.99,14.86,0.45
Rajasthan,May,2009,845,1.78,5.92,18.58,32.43,22.84,18.46
Tamil Nadu,May,2009,701,6.13,33.81,37.80,17.12,3.42,1.71
Tripura,May,2009,24,4.17,70.83,25.00,0.00,0.00,0.00
Uttar Pradesh,May,2009,929,0.75,32.83,42.73,19.05,4.63,0.00
Uttaranchal,May,2009,53,5.66,33.96,28.30,26.42,5.66,0.00
West Bengal,May,2009,591,6.43,32.99,45.18,15.23,0.17,0.00
Andhra Pradesh,August,2009,693,16.31,31.17,35.64,15.87,1.01,0.00
Arunachal Pradesh,August,2009,9,44.44,55.56,0.00,0.00,0.00,0.00
Assam,August,2009,205,74.63,18.54,5.37,1.46,0.00,0.00
Bihar,August,2009,247,30.36,48.99,19.43,1.21,0.00,0.00
Chandigarh,August,2009,24,0.00,12.50,25.00,29.17,20.83,12.50
Chhattisgarh,August,2009,404,51.73,25.50,19.06,3.47,0.25,0.00
Dadar-Nagar-Haveli,August,2009,8,100.00,0.00,0.00,0.00,0.00,0.00
Delhi,August,2009,198,4.55,20.71,23.23,25.76,15.15,10.61
Gujarat,August,2009,737,19.27,29.58,28.49,16.55,5.56,0.54
Haryana,August,2009,326,5.21,22.39,26.38,26.99,17.48,1.53
Himachal Pradesh,August,2009,82,24.39,28.05,19.51,18.29,8.54,1.22
Jammu & Kashmir,August,2009,137,30.66,43.07,13.14,7.30,5.84,0.00
Jharkhand,August,2009,165,18.79,35.76,38.79,6.67,0.00,0.00
Karnataka,August,2009,880,19.66,34.89,28.86,16.14,0.45,0.00
Kerala,August,2009,719,26.98,32.41,31.02,7.79,1.53,0.28
Madhya Pradesh,August,2009,755,14.17,30.46,40.93,13.38,1.06,0.00
Maharashtra,August,2009,872,30.96,29.47,27.41,10.67,1.49,0.00
Meghalaya,August,2009,30,66.67,26.67,6.67,0.00,0.00,0.00
Odisha,August,2009,816,68.38,26.35,5.02,0.25,0.00,0.00
Pondicherry,August,2009,7,0.00,85.71,14.29,0.00,0.00,0.00
Punjab,August,2009,206,7.28,13.59,23.30,37.86,17.96,0.00
Rajasthan,August,2009,884,7.58,10.41,16.63,26.24,21.49,17.65
Tamil Nadu,August,2009,717,5.16,27.34,39.75,22.32,3.77,1.67
Tripura,August,2009,29,51.72,44.83,3.45,0.00,0.00,0.00
Uttar Pradesh,August,2009,865,18.84,31.33,29.36,16.18,4.28,0.00
Uttaranchal,August,2009,54,18.52,25.93,35.19,14.81,5.56,0.00
West Bengal,August,2009,582,33.33,44.16,14.95,7.39,0.17,0.00
Andhra Pradesh,November,2009,667,23.39,32.83,33.58,9.90,0.30,0.00
Arunachal Pradesh,November,2009,12,16.67,66.67,16.67,0.00,0.00,0.00
Assam,November,2009,259,37.84,51.74,9.65,0.77,0.00,0.00
Bihar,November,2009,243,18.93,63.37,16.46,1.23,0.00,0.00
Chandigarh,November,2009,21,0.00,14.29,23.81,28.57,14.29,19.05
Chhattisgarh,November,2009,375,20.27,48.27,27.73,3.47,0.27,0.00
Dadar-Nagar-Haveli,November,2009,8,0.00,100.00,0.00,0.00,0.00,0.00
Delhi,November,2009,200,7.50,21.50,23.50,23.00,13.50,11.00
Gujarat,November,2009,743,8.48,27.59,36.61,19.25,7.81,0.27
Haryana,November,2009,316,10.44,19.94,24.37,31.01,14.24,0.00
Himachal Pradesh,November,2009,77,14.29,37.66,22.08,20.78,5.19,0.00
Jammu & Kashmir,November,2009,133,15.04,43.61,24.06,10.53,6.77,0.00
Jharkhand,November,2009,167,7.19,51.50,38.32,2.99,0.00,0.00
Karnataka,November,2009,1054,23.06,37.19,23.43,13.28,3.04,0.00
Kerala,November,2009,711,24.05,32.91,33.19,8.44,1.27,0.14
Madhya Pradesh,November,2009,771,8.04,33.20,45.14,12.58,1.04,0.00
Maharashtra,November,2009,1031,22.31,36.08,31.13,8.83,1.45,0.19
Meghalaya,November,2009,28,35.71,57.14,7.14,0.00,0.00,0.00
Odisha,November,2009,792,40.78,45.45,13.38,0.38,0.00,0.00
Pondicherry,November,2009,7,14.29,71.43,14.29,0.00,0.00,0.00
Punjab,November,2009,194,5.67,19.07,24.23,35.57,15.46,0.00
Rajasthan,November,2009,830,3.01,10.60,18.92,29.76,20.60,17.11
Tamil Nadu,November,2009,693,15.30,25.40,33.62,21.36,3.46,0.87
Tripura,November,2009,30,20.00,70.00,6.67,3.33,0.00,0.00
Uttar Pradesh,November,2009,831,18.41,35.86,27.08,16.13,2.53,0.00
Uttaranchal,November,2009,50,20.00,32.00,28.00,16.00,4.00,0.00
West Bengal,November,2009,631,22.35,49.29,19.97,8.08,0.32,0.00
Andhra Pradesh,January,2010,678,17.99,34.66,33.19,13.13,1.03,0.00
Arunachal Pradesh,January,2010,8,12.50,75.00,12.50,0.00,0.00,0.00
Assam,January,2010,248,17.74,64.52,14.92,2.82,0.00,0.00
Bihar,January,2010,245,6.12,55.10,35.92,2.86,0.00,0.00
Chandigarh,January,2010,22,0.00,18.18,27.27,31.82,13.64,9.09
Chhattisgarh,January,2010,382,6.54,42.15,44.50,6.54,0.26,0.00
Dadar-Nagar-Haveli,January,2010,7,14.29,57.14,28.57,0.00,0.00,0.00
Delhi,January,2010,204,5.39,22.55,23.53,23.53,13.73,11.27
Gujarat,January,2010,753,3.05,22.31,36.12,27.76,9.69,1.06
Haryana,January,2010,280,10.36,20.36,25.00,30.71,13.21,0.36
Himachal Pradesh,January,2010,79,12.66,35.44,25.32,21.52,5.06,0.00
Jammu & Kashmir,January,2010,130,8.46,46.92,24.62,12.31,7.69,0.00
Jharkhand,January,2010,175,3.43,34.86,56.57,5.14,0.00,0.00
Karnataka,January,2010,880,16.59,39.66,29.43,14.09,0.23,0.00
Kerala,January,2010,692,14.31,30.64,42.20,11.27,1.45,0.14
Madhya Pradesh,January,2010,877,6.16,25.66,42.19,22.01,3.88,0.11
Maharashtra,January,2010,1081,11.38,36.63,38.58,11.29,1.85,0.28
Meghalaya,January,2010,29,27.59,58.62,13.79,0.00,0.00,0.00
Odisha,January,2010,844,13.63,56.99,27.96,1.42,0.00,0.00
Pondicherry,January,2010,6,50.00,50.00,0.00,0.00,0.00,0.00
Punjab,January,2010,200,4.00,21.00,25.00,39.00,11.00,0.00
Rajasthan,January,2010,796,3.64,7.54,18.97,29.27,22.36,18.22
Tamil Nadu,January,2010,656,28.20,28.05,27.13,12.50,3.66,0.46
Tripura,January,2010,29,13.79,58.62,27.59,0.00,0.00,0.00
Uttar Pradesh,January,2010,872,9.29,39.45,30.96,17.09,3.21,0.00
Uttaranchal,January,2010,52,11.54,32.69,25.00,26.92,3.85,0.00
West Bengal,January,2010,612,5.39,53.59,29.25,11.27,0.49,0.00
Andhra Pradesh,May,2010,590,12.88,32.37,36.61,17.46,0.68,0.00
Arunachal Pradesh,May,2010,12,16.67,33.33,33.33,16.67,0.00,0.00
Assam,May,2010,238,12.61,60.08,24.79,2.52,0.00,0.00
Bihar,May,2010,259,1.54,35.52,57.53,5.41,0.00,0.00
Chandigarh,May,2010,23,0.00,17.39,21.74,30.43,17.39,13.04
